04-06-2023	12:17:51 	 4902762e-9fda-4a4f-8b22-2582b5a0574d 	 GET 	 undefined 	 /index.html 
04-06-2023	12:17:51 	 2a2c2279-98a3-47b5-9c79-42bad5516cb7 	 GET 	 undefined 	 /favicon.ico 
04-06-2023	12:18:56 	 3d842cd1-18e0-4628-a56c-82d7eee048e5 	 GET 	 undefined 	 /index.html 
04-06-2023	12:18:56 	 16099208-e737-411a-9471-0f62076e4c5c 	 GET 	 undefined 	 /css/style.css 
04-06-2023	12:18:56 	 f0eabe0f-0410-4422-95fa-effe16024949 	 GET 	 undefined 	 /favicon.ico 
04-06-2023	12:19:04 	 c3bb833d-fde7-44fa-a410-59faef28ca05 	 GET 	 undefined 	 /new-page.html 
04-06-2023	12:19:04 	 d6342a19-2abb-4dd7-bb32-c8dec724dc9d 	 GET 	 undefined 	 /img/img1.jpg 
04-06-2023	12:19:04 	 1c66a915-1534-458e-97ab-0f714abb3cd8 	 GET 	 undefined 	 /css/style.css 
04-06-2023	12:19:04 	 e6590fc6-dcaa-4ab5-92a8-cbed8d361324 	 GET 	 undefined 	 /favicon.ico 
04-10-2023	10:43:42 	 94362c8e-682b-44af-b527-902ea364710b 	 GET 	 undefined 	 /employees/1 
04-10-2023	10:43:55 	 56126f5a-f655-4be5-899c-63e2cc09075f 	 GET 	 undefined 	 / 
04-10-2023	10:44:09 	 b9431fac-fbc8-4421-9408-1f004a3a455f 	 GET 	 undefined 	 /employee 
04-10-2023	10:45:00 	 23bf0304-d7fc-4d00-acc6-2b3688cb27a7 	 POST 	 undefined 	 /employees 
04-10-2023	10:45:19 	 45a696e3-744a-4d5c-836c-42758a274ee5 	 POST 	 undefined 	 /employee 
04-10-2023	10:46:29 	 e2e93b2b-0980-457b-9434-2ab6cf2df82f 	 GET 	 undefined 	 /employee 
04-10-2023	10:46:39 	 d1c8109b-fdf2-4a36-b8f6-877b482ef37a 	 POST 	 undefined 	 /employee 
04-10-2023	10:48:03 	 968eca27-85e7-47ef-a599-e48fa69c9429 	 POST 	 undefined 	 /employee 
04-10-2023	10:48:19 	 1a362d5d-ee14-49af-b03d-bc6b4ac04362 	 PUT 	 undefined 	 /employee 
04-10-2023	10:48:33 	 9ca7345c-6d9b-4bf2-a4c2-8d1c00a779ef 	 POST 	 undefined 	 /employees 
04-10-2023	10:48:53 	 3ff62710-3355-45cd-81f8-2cf540ed245d 	 POST 	 undefined 	 /employee 
04-10-2023	10:49:21 	 565f174d-8c27-4b52-ad3c-2aafe3d66b2f 	 PUT 	 undefined 	 /employee 
04-10-2023	10:49:50 	 b5d0a786-46a7-4a5f-a230-6ab8d1211ff3 	 PUT 	 undefined 	 /employee 
04-10-2023	10:52:30 	 73cde0ba-897a-44d1-ab81-8f75485833b2 	 POST 	 undefined 	 /employee 
04-10-2023	10:54:05 	 9d1b9935-821a-4993-9800-e1d8f7b63683 	 PUT 	 undefined 	 /employee 
04-10-2023	10:58:41 	 557eb912-4c9c-4aeb-91de-a6d052f93fbd 	 POST 	 undefined 	 /employee 
04-10-2023	10:58:59 	 57b268c3-462d-4056-a32c-2d4cdaa76b4a 	 DELETE 	 undefined 	 /employees/ 
04-10-2023	10:59:04 	 6844017d-130f-4d92-9e3f-a089fa46c48b 	 DELETE 	 undefined 	 /employee/ 
04-10-2023	11:02:15 	 700f98af-3985-4dd5-be50-fe89350c73de 	 DELETE 	 undefined 	 /employee/ 
